fsa,horizon,magnitude_c,metric,symmetry_residual
M6G,13,5.0,forecast_delta_kwh,157.56544275964188
M6G,14,5.0,forecast_delta_kwh,709.2484103941515
M6G,15,5.0,forecast_delta_kwh,72.32679426631694
M6G,16,5.0,forecast_delta_kwh,70.29470701326136
M6G,17,5.0,forecast_delta_kwh,36.60920665547019
M6G,18,5.0,forecast_delta_kwh,122.47696721014654
M6G,19,5.0,forecast_delta_kwh,91.62252999017073
M6G,20,5.0,forecast_delta_kwh,143.26733238636916
M6G,21,5.0,forecast_delta_kwh,86.3807957262834
M6G,22,5.0,forecast_delta_kwh,79.76334473178031
M6G,23,5.0,forecast_delta_kwh,-17.306197787818746
M6G,24,5.0,forecast_delta_kwh,-24.783800937773776
M9R,1,5.0,forecast_delta_kwh,170.3341298177429
M9R,2,5.0,forecast_delta_kwh,85.47007268770312
M9R,3,5.0,forecast_delta_kwh,46.50749945587722
M9R,4,5.0,forecast_delta_kwh,111.85852769188568
M9R,5,5.0,forecast_delta_kwh,244.94606195324377
M9R,6,5.0,forecast_delta_kwh,151.6913695911535
M9R,7,5.0,forecast_delta_kwh,16.851284065548498
M9R,8,5.0,forecast_delta_kwh,-30.378956747827942
M9R,9,5.0,forecast_delta_kwh,56.98017752906708
M9R,10,5.0,forecast_delta_kwh,65.96758543116266
M9R,11,5.0,forecast_delta_kwh,49.062203522542404
M9R,12,5.0,forecast_delta_kwh,49.70606513655457
M9R,13,5.0,forecast_delta_kwh,96.97897842758266
M9R,14,5.0,forecast_delta_kwh,33.7492122889862
M9R,15,5.0,forecast_delta_kwh,63.97711302947482
M9R,16,5.0,forecast_delta_kwh,17.194636189129596
M9R,17,5.0,forecast_delta_kwh,-29.792243688602866
M9R,18,5.0,forecast_delta_kwh,13.325453159943208
M9R,19,5.0,forecast_delta_kwh,22.31639472302595
M9R,20,5.0,forecast_delta_kwh,41.82380090431889
M9R,21,5.0,forecast_delta_kwh,56.23758334307331
M9R,22,5.0,forecast_delta_kwh,7.717977741765935
M9R,23,5.0,forecast_delta_kwh,32.97399941082131
M9R,24,5.0,forecast_delta_kwh,42.14667262052717
M9W,1,5.0,forecast_delta_kwh,297.81083973791283
M9W,2,5.0,forecast_delta_kwh,423.2023908801548
M9W,3,5.0,forecast_delta_kwh,370.378580175955
M9W,4,5.0,forecast_delta_kwh,207.53526854997835
M9W,5,5.0,forecast_delta_kwh,378.19736274758907
M9W,6,5.0,forecast_delta_kwh,213.84198219571044
M9W,7,5.0,forecast_delta_kwh,100.75320452014421
M9W,8,5.0,forecast_delta_kwh,263.02731962390317
M9W,9,5.0,forecast_delta_kwh,245.9743444504893
M9W,10,5.0,forecast_delta_kwh,287.7021986217642
M9W,11,5.0,forecast_delta_kwh,176.15068567903108
M9W,12,5.0,forecast_delta_kwh,236.09717832866954
M9W,13,5.0,forecast_delta_kwh,265.48421188680004
M9W,14,5.0,forecast_delta_kwh,-50.821588527674976
M9W,15,5.0,forecast_delta_kwh,188.1059021093206
M9W,16,5.0,forecast_delta_kwh,160.53513730405575
M9W,17,5.0,forecast_delta_kwh,-9.787076764028825
M9W,18,5.0,forecast_delta_kwh,14.533773633909732
M9W,19,5.0,forecast_delta_kwh,34.495973993956795
M9W,20,5.0,forecast_delta_kwh,-66.46955899639579
M9W,21,5.0,forecast_delta_kwh,-30.309509954498935
M9W,22,5.0,forecast_delta_kwh,15.053583582719511
M9W,23,5.0,forecast_delta_kwh,70.52323650343533
M9W,24,5.0,forecast_delta_kwh,26.1505215903926
L4T,1,5.0,peak_risk_delta,2.8980666684219614e-05
L4T,2,5.0,peak_risk_delta,-5.690852049156092e-06
L4T,3,5.0,peak_risk_delta,9.219074854627252e-07
L4T,4,5.0,peak_risk_delta,3.4333344956394285e-05
L4T,5,5.0,peak_risk_delta,1.2788295862264931e-06
L4T,6,5.0,peak_risk_delta,0.0001905276149045676
L4T,7,5.0,peak_risk_delta,6.909550575073808e-05
L4T,8,5.0,peak_risk_delta,5.00760979775805e-05
L4T,9,5.0,peak_risk_delta,2.291810596943833e-05
L4T,10,5.0,peak_risk_delta,1.8049868231173605e-06
L4T,11,5.0,peak_risk_delta,-0.0001725418260321021
L4T,12,5.0,peak_risk_delta,-0.0002452438056934625
L4T,13,5.0,peak_risk_delta,-0.00030783936381340027
L4T,14,5.0,peak_risk_delta,-0.00040050980169326067
L4T,15,5.0,peak_risk_delta,-0.0017635695403441787
L4T,16,5.0,peak_risk_delta,-0.005040527321398258
L4T,17,5.0,peak_risk_delta,-0.022033045068383217
L4T,18,5.0,peak_risk_delta,-0.05576282739639282
L4T,19,5.0,peak_risk_delta,-0.1159200668334961
L4T,20,5.0,peak_risk_delta,-0.169459730386734
L4T,21,5.0,peak_risk_delta,-0.03739238530397415
L4T,22,5.0,peak_risk_delta,-0.0036845384165644646
L4T,23,5.0,peak_risk_delta,-0.0021195118315517902
L4T,24,5.0,peak_risk_delta,0.0005783798405900598
M5R,1,5.0,peak_risk_delta,0.0015123161720111966
M5R,2,5.0,peak_risk_delta,0.00021800174727104604
M5R,3,5.0,peak_risk_delta,0.00021330895833671093
M5R,4,5.0,peak_risk_delta,0.0010526704136282206
M5R,5,5.0,peak_risk_delta,0.003003822872415185
M5R,6,5.0,peak_risk_delta,0.012589567340910435
M5R,7,5.0,peak_risk_delta,0.007219723425805569
M5R,8,5.0,peak_risk_delta,0.008503144606947899
M5R,9,5.0,peak_risk_delta,0.007046132814139128
M5R,10,5.0,peak_risk_delta,0.0012457356788218021
M5R,11,5.0,peak_risk_delta,0.01806790381669998
M5R,12,5.0,peak_risk_delta,0.0626932829618454
M5R,13,5.0,peak_risk_delta,0.10717716813087463
M5R,14,5.0,peak_risk_delta,0.10818657279014587
M5R,15,5.0,peak_risk_delta,0.10720351338386536
M5R,16,5.0,peak_risk_delta,0.1924750804901123
M5R,17,5.0,peak_risk_delta,-0.027046799659729004
